app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BaiDuTieBa,bargain_hunter,1,2026-06-07T14:30:47,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_001.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,2,2026-06-07T14:31:06,visit_homepage,,,请回到 BaiDuTieBa 首页，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_002.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,3,2026-06-07T14:31:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,4,2026-06-07T14:32:26,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_004.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,5,2026-06-07T14:32:46,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,6,2026-06-07T14:33:05,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,7,2026-06-07T14:33:29,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,8,2026-06-07T14:33:56,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_008.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,9,2026-06-07T14:34:57,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_009.png,,2.0,4.0,1.0,1.0,1.0,2.0,1.0
BaiDuTieBa,bargain_hunter,10,2026-06-07T14:36:10,search_keyword,membership_subscription,VIP,请在搜索框输入“VIP”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_010.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,11,2026-06-07T14:36:36,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_011.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,12,2026-06-07T14:37:02,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_012.png,,2.0,2.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,bargain_hunter,13,2026-06-07T14:37:50,search_keyword,membership_subscription,免广告,请在搜索框输入“免广告”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\bargain_hunter\20260607_143024\screenshots\step_013.png,,2.0,1.0,1.0,0.0,0.0,0.0,1.0
