app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BaiDuTieBa,high_payment_shopping,1,2026-06-07T13:33:55,search_keyword,music_audio,纯音乐,请在搜索框输入“纯音乐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,2,2026-06-07T13:34:27,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,3,2026-06-07T13:35:23,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,4,2026-06-07T13:37:19,search_keyword,membership_subscription,会员专享,请在搜索框输入“会员专享”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_004.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,5,2026-06-07T13:37:48,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_005.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,6,2026-06-07T13:40:50,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_006.png,,2.0,2.0,1.0,1.0,0.0,1.0,1.0
BaiDuTieBa,high_payment_shopping,7,2026-06-07T13:44:27,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,8,2026-06-07T13:45:18,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,9,2026-06-07T13:45:38,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_009.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,10,2026-06-07T13:47:19,search_keyword,game_acg,游戏攻略,请在搜索框输入“游戏攻略”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,11,2026-06-07T13:48:37,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,12,2026-06-07T13:53:07,search_keyword,knowledge_learning,怎么评价,请在搜索框输入“怎么评价”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_012.png,,2.0,2.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,13,2026-06-07T13:53:55,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_013.png,,1.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,14,2026-06-07T13:54:34,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_014.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,15,2026-06-07T13:55:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_015.png,,2.0,2.0,0.0,1.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,16,2026-06-07T13:56:36,search_keyword,membership_subscription,会员,请在搜索框输入“会员”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_016.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,17,2026-06-07T13:57:21,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_017.png,,2.0,0.0,1.0,1.0,1.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,18,2026-06-07T13:59:08,search_keyword,game_acg,游戏攻略,请在搜索框输入“游戏攻略”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_018.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,19,2026-06-07T14:00:05,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_019.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,high_payment_shopping,20,2026-06-07T14:00:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\high_payment_shopping\20260607_133255\screenshots\step_020.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
