app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BaiDuTieBa,low_payment_browsing,1,2026-06-07T14:10:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,2,2026-06-07T14:10:39,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,3,2026-06-07T14:11:13,search_keyword,game_acg,电竞,请在搜索框输入“电竞”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,4,2026-06-07T14:13:13,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,5,2026-06-07T14:13:38,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,6,2026-06-07T14:14:07,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_006.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,7,2026-06-07T14:14:35,search_keyword,emotion_life,孤独,请在搜索框输入“孤独”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,8,2026-06-07T14:14:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,9,2026-06-07T14:15:33,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_009.png,,2.0,2.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,10,2026-06-07T14:15:51,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,11,2026-06-07T14:16:30,search_keyword,entertainment_video,热梗,请在搜索框输入“热梗”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_011.png,,2.0,2.0,1.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,12,2026-06-07T14:17:30,visit_homepage,,,请回到 BaiDuTieBa 首页，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_012.png,,2.0,1.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,13,2026-06-07T14:17:50,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,14,2026-06-07T14:18:34,search_keyword,music_audio,音乐现场,请在搜索框输入“音乐现场”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_014.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,15,2026-06-07T14:19:06,visit_homepage,,,请回到 BaiDuTieBa 首页，等待 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_015.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,16,2026-06-07T14:19:21,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_016.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,17,2026-06-07T14:19:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_017.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,18,2026-06-07T14:20:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_018.png,,2.0,2.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,19,2026-06-07T14:20:47,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_019.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BaiDuTieBa,low_payment_browsing,20,2026-06-07T14:21:32,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BaiDuTieBa\low_payment_browsing\20260607_140824\screenshots\step_020.png,,2.0,3.0,1.0,0.0,0.0,1.0,1.0
