app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BiliBili,high_payment_shopping,1,2026-06-07T14:56:37,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_001.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,2,2026-06-07T14:56:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,3,2026-06-07T14:57:35,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,4,2026-06-07T14:57:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,5,2026-06-07T14:58:05,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,6,2026-06-07T14:59:56,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,7,2026-06-07T15:00:24,visit_homepage,,,请回到 BiliBili 首页，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,8,2026-06-07T15:00:54,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,9,2026-06-07T15:01:32,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_009.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,high_payment_shopping,10,2026-06-07T15:02:11,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\high_payment_shopping\20260607_145555\screenshots\step_010.png,,2.0,2.0,1.0,0.0,0.0,0.0,1.0
