app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
BiliBili,low_payment_browsing,1,2026-06-07T15:14:34,search_keyword,game_acg,手游,请在搜索框输入“手游”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BiliBili,low_payment_browsing,2,2026-06-07T15:15:22,search_keyword,knowledge_learning,教程,请在搜索框输入“教程”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BiliBili,low_payment_browsing,3,2026-06-07T15:15:52,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_003.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,4,2026-06-07T15:16:16,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_004.png,,1.0,2.0,0.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,5,2026-06-07T15:16:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_005.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
BiliBili,low_payment_browsing,6,2026-06-07T15:17:08,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_006.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,7,2026-06-07T15:17:36,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_007.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,8,2026-06-07T15:18:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_008.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,9,2026-06-07T15:18:57,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_009.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BiliBili,low_payment_browsing,10,2026-06-07T15:19:27,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\BiliBili\low_payment_browsing\20260607_151401\screenshots\step_010.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
