app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
DaZhongDianPing,bargain_hunter,1,2026-06-07T06:24:41,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,2,2026-06-07T06:25:07,search_keyword,daily_necessities,兰州拉面,请在搜索框输入“兰州拉面”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,3,2026-06-07T06:25:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_003.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,4,2026-06-07T06:25:49,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_004.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,5,2026-06-07T06:26:00,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_005.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,6,2026-06-07T06:26:44,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_006.png,,1.0,3.0,1.0,0.0,0.0,1.0,1.0
DaZhongDianPing,bargain_hunter,7,2026-06-07T06:27:18,search_keyword,daily_necessities,黄焖鸡,请在搜索框输入“黄焖鸡”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_007.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,8,2026-06-07T06:27:58,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_008.png,,1.0,3.0,1.0,0.0,0.0,1.0,1.0
DaZhongDianPing,bargain_hunter,9,2026-06-07T06:28:18,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,10,2026-06-07T06:28:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,11,2026-06-07T06:28:53,search_keyword,daily_necessities,沙县小吃,请在搜索框输入“沙县小吃”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,12,2026-06-07T06:29:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,13,2026-06-07T06:29:41,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_013.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,14,2026-06-07T06:29:54,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_014.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,15,2026-06-07T06:30:11,visit_homepage,,,请回到 DaZhongDianPing 首页，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_015.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,bargain_hunter,16,2026-06-07T06:30:24,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_016.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,bargain_hunter,17,2026-06-07T06:30:37,visit_homepage,,,请回到 DaZhongDianPing 首页，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_017.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,bargain_hunter,18,2026-06-07T06:30:58,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_018.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,19,2026-06-07T06:31:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_019.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,bargain_hunter,20,2026-06-07T06:31:21,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\bargain_hunter\20260607_061416\screenshots\step_020.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
