app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
DaZhongDianPing,high_payment_shopping,1,2026-06-07T05:38:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,high_payment_shopping,2,2026-06-07T05:39:09,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,high_payment_shopping,3,2026-06-07T05:42:59,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DaZhongDianPing,high_payment_shopping,4,2026-06-07T05:43:42,search_keyword,electronics_high_value,品牌餐厅,请在搜索框输入“品牌餐厅”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,5,2026-06-07T05:44:19,search_keyword,electronics_high_value,会员红包,请在搜索框输入“会员红包”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_005.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,6,2026-06-07T05:44:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_006.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,7,2026-06-07T05:45:20,search_keyword,electronics_high_value,会员红包,请在搜索框输入“会员红包”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_007.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,8,2026-06-07T05:45:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,9,2026-06-07T05:46:15,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_009.png,,2.0,0.0,0.0,0.0,0.0,1.0,1.0
DaZhongDianPing,high_payment_shopping,10,2026-06-07T05:46:59,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,11,2026-06-07T05:48:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_011.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,12,2026-06-07T05:49:30,search_keyword,electronics_high_value,高端咖啡,请在搜索框输入“高端咖啡”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_012.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,13,2026-06-07T05:49:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,14,2026-06-07T05:49:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,15,2026-06-07T05:50:43,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_015.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,16,2026-06-07T05:51:07,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_016.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,17,2026-06-07T05:51:40,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_017.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,18,2026-06-07T05:51:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_018.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,19,2026-06-07T05:52:13,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_019.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,20,2026-06-07T05:52:46,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_020.png,,1.0,0.0,0.0,0.0,1.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,21,2026-06-07T05:54:27,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_021.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,22,2026-06-07T05:55:06,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_022.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,23,2026-06-07T05:55:41,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_023.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DaZhongDianPing,high_payment_shopping,24,2026-06-07T05:57:02,visit_homepage,,,请回到 DaZhongDianPing 首页，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_024.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaZhongDianPing,high_payment_shopping,25,2026-06-07T05:57:30,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\DaZhongDianPing\high_payment_shopping\20260607_053655\screenshots\step_025.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
