app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
DouYin,low_payment_browsing,1,2026-06-07T17:03:50,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DouYin,low_payment_browsing,2,2026-06-07T17:04:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_002.png,,2.0,1.0,0.0,0.0,0.0,1.0,1.0
DouYin,low_payment_browsing,3,2026-06-07T17:05:31,search_keyword,electronics_high_value,手柄,请在搜索框输入“手柄”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_003.png,,2.0,1.0,1.0,1.0,0.0,0.0,0.0
DouYin,low_payment_browsing,4,2026-06-07T17:06:20,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_004.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
DouYin,low_payment_browsing,5,2026-06-07T17:07:07,search_keyword,daily_necessities,纸巾,请在搜索框输入“纸巾”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_005.png,,2.0,1.0,0.0,0.0,0.0,1.0,0.0
DouYin,low_payment_browsing,6,2026-06-07T17:07:41,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_006.png,,2.0,0.0,1.0,1.0,0.0,0.0,0.0
DouYin,low_payment_browsing,7,2026-06-07T17:08:59,search_keyword,electronics_high_value,手柄,请在搜索框输入“手柄”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_007.png,,2.0,1.0,1.0,0.0,0.0,1.0,0.0
DouYin,low_payment_browsing,8,2026-06-07T17:09:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_008.png,,2.0,1.0,1.0,0.0,0.0,1.0,0.0
DouYin,low_payment_browsing,9,2026-06-07T17:10:48,search_keyword,apparel_beauty,面膜,请在搜索框输入“面膜”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_009.png,,2.0,0.0,1.0,1.0,0.0,0.0,0.0
DouYin,low_payment_browsing,10,2026-06-07T17:11:10,visit_homepage,,,请回到 DouYin 首页，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DouYin,low_payment_browsing,11,2026-06-07T17:11:34,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_011.png,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DouYin,low_payment_browsing,12,2026-06-07T17:12:57,search_keyword,apparel_beauty,粉底液,请在搜索框输入“粉底液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_012.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
DouYin,low_payment_browsing,13,2026-06-07T17:13:31,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/DouYin/low_payment_browsing/20260607_170327/screenshots/step_013.png,,2.0,0.0,1.0,0.0,0.0,1.0,0.0
