app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ELeMe,bargain_hunter,1,2026-06-07T04:02:39,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,2,2026-06-07T04:02:58,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,3,2026-06-07T04:03:18,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ELeMe,bargain_hunter,4,2026-06-07T04:03:43,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,5,2026-06-07T04:03:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,6,2026-06-07T04:04:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,7,2026-06-07T04:04:47,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,8,2026-06-07T04:05:01,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,9,2026-06-07T04:05:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,bargain_hunter,10,2026-06-07T04:05:48,visit_homepage,,,请回到 ELeMe 首页，等待 3 秒后截图。,results\ELeMe\bargain_hunter\20260607_040124\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
