app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ELeMe,high_payment_shopping,1,2026-06-07T02:59:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,2,2026-06-07T02:59:50,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,3,2026-06-07T03:03:45,search_keyword,apparel_beauty,无糖饮品,请在搜索框输入“无糖饮品”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ELeMe,high_payment_shopping,4,2026-06-07T03:05:09,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,5,2026-06-07T03:07:06,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,6,2026-06-07T03:08:03,search_keyword,electronics_high_value,品质外卖,请在搜索框输入“品质外卖”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,7,2026-06-07T03:08:59,search_keyword,electronics_high_value,超级会员,请在搜索框输入“超级会员”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,8,2026-06-07T03:09:43,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,9,2026-06-07T03:10:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,10,2026-06-07T03:10:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,11,2026-06-07T03:11:35,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,high_payment_shopping,12,2026-06-07T03:12:11,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\high_payment_shopping\20260607_025733\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
