app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ELeMe,low_payment_browsing,1,2026-06-07T03:44:30,visit_homepage,,,请回到 ELeMe 首页，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,2,2026-06-07T03:45:05,visit_homepage,,,请回到 ELeMe 首页，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,3,2026-06-07T03:45:47,search_keyword,apparel_beauty,无糖饮品,请在搜索框输入“无糖饮品”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,4,2026-06-07T03:46:24,search_keyword,apparel_beauty,健身餐,请在搜索框输入“健身餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ELeMe,low_payment_browsing,5,2026-06-07T03:47:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,6,2026-06-07T03:48:53,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_006.png,,2.0,2.0,0.0,0.0,0.0,1.0,1.0
ELeMe,low_payment_browsing,7,2026-06-07T03:49:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,8,2026-06-07T03:49:39,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,9,2026-06-07T03:50:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,10,2026-06-07T03:50:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,11,2026-06-07T03:50:46,visit_homepage,,,请回到 ELeMe 首页，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,12,2026-06-07T03:51:31,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,13,2026-06-07T03:52:07,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_013.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,14,2026-06-07T03:52:24,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_014.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,15,2026-06-07T03:52:57,visit_homepage,,,请回到 ELeMe 首页，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_015.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ELeMe,low_payment_browsing,16,2026-06-07T03:53:18,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_016.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ELeMe,low_payment_browsing,17,2026-06-07T03:53:56,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_017.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,18,2026-06-07T03:54:34,search_keyword,daily_necessities,盖浇饭,请在搜索框输入“盖浇饭”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_018.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ELeMe,low_payment_browsing,19,2026-06-07T03:55:10,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ELeMe\low_payment_browsing\20260607_033149\screenshots\step_019.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
