app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
HeMa,bargain_hunter,1,2026-06-07T07:28:55,search_keyword,shopping,拼单,请在搜索框输入“拼单”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,2,2026-06-07T07:29:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,3,2026-06-07T07:29:20,visit_homepage,,,请回到 HeMa 首页，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeMa,bargain_hunter,4,2026-06-07T07:29:37,search_keyword,daily_necessities,沙县小吃,请在搜索框输入“沙县小吃”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_004.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,5,2026-06-07T07:29:54,search_keyword,shopping,满减券,请在搜索框输入“满减券”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_005.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,6,2026-06-07T07:30:07,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_006.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,7,2026-06-07T07:30:26,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_007.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,8,2026-06-07T07:30:38,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_008.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,9,2026-06-07T07:30:50,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_009.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,10,2026-06-07T07:31:00,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,11,2026-06-07T07:31:15,visit_homepage,,,请回到 HeMa 首页，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeMa,bargain_hunter,12,2026-06-07T07:31:36,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_012.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,13,2026-06-07T07:31:49,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_013.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,14,2026-06-07T07:32:13,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_014.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,15,2026-06-07T07:32:32,visit_homepage,,,请回到 HeMa 首页，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_015.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeMa,bargain_hunter,16,2026-06-07T07:32:43,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_016.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeMa,bargain_hunter,17,2026-06-07T07:33:31,search_keyword,shopping,拼单,请在搜索框输入“拼单”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_017.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,18,2026-06-07T07:33:50,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_018.png,,1.0,1.0,0.0,0.0,0.0,1.0,1.0
HeMa,bargain_hunter,19,2026-06-07T07:34:04,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_019.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,20,2026-06-07T07:34:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_020.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,21,2026-06-07T07:34:48,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_021.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,22,2026-06-07T07:35:09,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_022.png,,1.0,1.0,0.0,0.0,0.0,1.0,1.0
HeMa,bargain_hunter,23,2026-06-07T07:35:30,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_023.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,24,2026-06-07T07:35:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_024.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,25,2026-06-07T07:36:05,search_keyword,daily_necessities,沙县小吃,请在搜索框输入“沙县小吃”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_025.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,26,2026-06-07T07:36:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_026.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,27,2026-06-07T07:36:44,search_keyword,shopping,限时秒杀,请在搜索框输入“限时秒杀”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_027.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,28,2026-06-07T07:37:12,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_028.png,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
HeMa,bargain_hunter,29,2026-06-07T07:37:27,search_keyword,daily_necessities,兰州拉面,请在搜索框输入“兰州拉面”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_029.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,bargain_hunter,30,2026-06-07T07:37:46,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\bargain_hunter\20260607_072643\screenshots\step_030.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
