app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
HeMa,high_payment_shopping,1,2026-06-07T06:50:44,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HeMa,high_payment_shopping,2,2026-06-07T06:51:51,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
HeMa,high_payment_shopping,3,2026-06-07T06:52:25,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,4,2026-06-07T06:52:39,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,5,2026-06-07T06:52:55,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,6,2026-06-07T06:53:20,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_006.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,7,2026-06-07T06:53:48,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_007.png,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
HeMa,high_payment_shopping,8,2026-06-07T06:54:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,9,2026-06-07T06:54:29,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_009.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
HeMa,high_payment_shopping,10,2026-06-07T06:54:51,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\HeMa\high_payment_shopping\20260607_064519\screenshots\step_010.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
