app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
MeiTuan,bargain_hunter,1,2026-06-07T05:21:00,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,2,2026-06-07T05:21:16,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,3,2026-06-07T05:21:42,visit_homepage,,,请回到 MeiTuan 首页，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,4,2026-06-07T05:21:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,5,2026-06-07T05:22:41,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,6,2026-06-07T05:22:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_006.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,7,2026-06-07T05:23:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_007.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,8,2026-06-07T05:24:04,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,9,2026-06-07T05:24:19,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,10,2026-06-07T05:24:51,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,11,2026-06-07T05:25:24,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_011.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,12,2026-06-07T05:25:51,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_012.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,13,2026-06-07T05:26:43,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_013.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,14,2026-06-07T05:27:17,search_keyword,apparel_beauty,沙拉,请在搜索框输入“沙拉”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_014.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,15,2026-06-07T05:27:29,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_015.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,16,2026-06-07T05:27:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_016.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,17,2026-06-07T05:28:06,search_keyword,daily_necessities,兰州拉面,请在搜索框输入“兰州拉面”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_017.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,18,2026-06-07T05:28:30,search_keyword,daily_necessities,兰州拉面,请在搜索框输入“兰州拉面”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_018.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,19,2026-06-07T05:29:23,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_019.png,,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MeiTuan,bargain_hunter,20,2026-06-07T05:30:26,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\bargain_hunter\20260607_052013\screenshots\step_020.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
