app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
MeiTuan,low_payment_browsing,1,2026-06-07T05:05:13,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,2,2026-06-07T05:05:27,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,3,2026-06-07T05:05:59,search_keyword,daily_necessities,快餐套餐,请在搜索框输入“快餐套餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,4,2026-06-07T05:06:09,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,5,2026-06-07T05:06:43,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_005.png,,0.0,1.0,1.0,0.0,0.0,1.0,1.0
MeiTuan,low_payment_browsing,6,2026-06-07T05:07:02,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,7,2026-06-07T05:07:32,search_keyword,apparel_beauty,轻食,请在搜索框输入“轻食”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,8,2026-06-07T05:08:07,visit_homepage,,,请回到 MeiTuan 首页，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,9,2026-06-07T05:08:29,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,10,2026-06-07T05:09:18,visit_homepage,,,请回到 MeiTuan 首页，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,11,2026-06-07T05:09:45,search_keyword,apparel_beauty,健身餐,请在搜索框输入“健身餐”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,12,2026-06-07T05:09:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,13,2026-06-07T05:10:15,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_013.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,14,2026-06-07T05:10:28,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_014.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,15,2026-06-07T05:10:39,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_015.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,16,2026-06-07T05:11:13,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_016.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MeiTuan,low_payment_browsing,17,2026-06-07T05:15:14,visit_homepage,,,请回到 MeiTuan 首页，等待 3 秒后截图。,results\MeiTuan\low_payment_browsing\20260607_050453\screenshots\step_017.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
