app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
WangYiYun,bargain_hunter,1,2026-06-07T17:10:57,search_keyword,membership_subscription,会员专享,请在搜索框输入“会员专享”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,2,2026-06-07T17:11:26,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,3,2026-06-07T17:12:01,visit_homepage,,,请回到 WangYiYun 首页，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,4,2026-06-07T17:12:22,search_keyword,music_audio,新歌,请在搜索框输入“新歌”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,5,2026-06-07T17:12:52,search_keyword,game_acg,游戏攻略,请在搜索框输入“游戏攻略”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,6,2026-06-07T17:13:47,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,7,2026-06-07T17:15:04,search_keyword,membership_subscription,专属权益,请在搜索框输入“专属权益”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,8,2026-06-07T17:15:24,search_keyword,membership_subscription,VIP,请在搜索框输入“VIP”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,9,2026-06-07T17:15:54,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_009.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,10,2026-06-07T17:16:07,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,11,2026-06-07T17:16:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,12,2026-06-07T17:16:57,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_012.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,13,2026-06-07T17:17:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,14,2026-06-07T17:17:49,search_keyword,game_acg,手游,请在搜索框输入“手游”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,15,2026-06-07T17:18:26,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_015.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,16,2026-06-07T17:18:56,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_016.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,17,2026-06-07T17:19:43,visit_homepage,,,请回到 WangYiYun 首页，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_017.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,18,2026-06-07T17:21:01,search_keyword,game_acg,二次元,请在搜索框输入“二次元”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_018.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,19,2026-06-07T17:21:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_019.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,20,2026-06-07T17:21:52,search_keyword,emotion_life,分手,请在搜索框输入“分手”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_020.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,21,2026-06-07T17:22:31,search_keyword,membership_subscription,专属权益,请在搜索框输入“专属权益”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_021.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,22,2026-06-07T17:22:47,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_022.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,23,2026-06-07T17:23:17,search_keyword,game_acg,电竞,请在搜索框输入“电竞”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_023.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,24,2026-06-07T17:23:33,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_024.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,bargain_hunter,25,2026-06-07T17:23:58,search_keyword,music_audio,新歌,请在搜索框输入“新歌”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\bargain_hunter\20260607_170955\screenshots\step_025.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
