app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
WangYiYun,high_payment_shopping,1,2026-06-07T16:33:46,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_001.png,,2.0,2.0,1.0,0.0,1.0,1.0,1.0
WangYiYun,high_payment_shopping,2,2026-06-07T16:37:06,visit_homepage,,,请回到 WangYiYun 首页，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,3,2026-06-07T16:37:50,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,4,2026-06-07T16:38:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,5,2026-06-07T16:39:24,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_005.png,,2.0,1.0,1.0,0.0,0.0,1.0,1.0
WangYiYun,high_payment_shopping,6,2026-06-07T16:39:51,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,7,2026-06-07T16:40:09,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,8,2026-06-07T16:40:47,search_keyword,music_audio,乐队,请在搜索框输入“乐队”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,9,2026-06-07T16:41:49,search_keyword,game_acg,手游,请在搜索框输入“手游”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_009.png,,2.0,1.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,10,2026-06-07T16:42:20,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_010.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,11,2026-06-07T16:43:18,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_011.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,12,2026-06-07T16:43:47,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_012.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,13,2026-06-07T16:44:40,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,14,2026-06-07T16:45:04,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,15,2026-06-07T16:45:33,search_keyword,game_acg,番剧,请在搜索框输入“番剧”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_015.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,16,2026-06-07T16:46:04,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_016.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,17,2026-06-07T16:46:56,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_017.png,,2.0,1.0,1.0,0.0,1.0,0.0,1.0
WangYiYun,high_payment_shopping,18,2026-06-07T16:49:14,search_keyword,membership_subscription,免广告,请在搜索框输入“免广告”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_018.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,19,2026-06-07T16:49:46,search_keyword,membership_subscription,专属权益,请在搜索框输入“专属权益”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_019.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,20,2026-06-07T16:50:25,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_020.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,21,2026-06-07T16:50:55,search_keyword,game_acg,二次元,请在搜索框输入“二次元”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_021.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,22,2026-06-07T16:51:10,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_022.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,23,2026-06-07T16:51:28,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_023.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,24,2026-06-07T16:51:50,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_024.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,25,2026-06-07T16:52:14,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_025.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,26,2026-06-07T16:52:38,search_keyword,membership_subscription,会员专享,请在搜索框输入“会员专享”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_026.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,high_payment_shopping,27,2026-06-07T16:53:07,search_keyword,music_audio,歌单,请在搜索框输入“歌单”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\high_payment_shopping\20260607_163241\screenshots\step_027.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
