app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
WangYiYun,low_payment_browsing,1,2026-06-07T16:59:03,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,2,2026-06-07T16:59:24,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,3,2026-06-07T16:59:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,4,2026-06-07T17:00:01,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,5,2026-06-07T17:00:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,6,2026-06-07T17:00:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,7,2026-06-07T17:00:48,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,8,2026-06-07T17:01:06,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,9,2026-06-07T17:01:44,visit_homepage,,,请回到 WangYiYun 首页，等待 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WangYiYun,low_payment_browsing,10,2026-06-07T17:02:53,search_keyword,game_acg,电竞,请在搜索框输入“电竞”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\WangYiYun\low_payment_browsing\20260607_165827\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
