app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
XiaoHongShu,bargain_hunter,1,2026-06-07T04:06:54,search_keyword,shopping,会员,请在搜索框输入“会员”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_001.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,2,2026-06-07T04:07:33,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_002.png,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,3,2026-06-07T04:08:26,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_003.png,,2.0,2.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,4,2026-06-07T04:10:12,visit_homepage,,,请回到 XiaoHongShu 首页，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_004.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,5,2026-06-07T04:10:41,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_005.png,,2.0,0.0,1.0,1.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,6,2026-06-07T04:11:04,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,7,2026-06-07T04:11:27,visit_homepage,,,请回到 XiaoHongShu 首页，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,8,2026-06-07T04:12:05,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,9,2026-06-07T04:12:48,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_009.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,10,2026-06-07T04:13:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,11,2026-06-07T04:13:35,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,12,2026-06-07T04:14:06,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_012.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,13,2026-06-07T04:14:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_013.png,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,14,2026-06-07T04:14:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,15,2026-06-07T04:15:24,search_keyword,shopping,百亿补贴,请在搜索框输入“百亿补贴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_015.png,,2.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,16,2026-06-07T04:15:46,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_016.png,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,17,2026-06-07T04:16:32,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_017.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
XiaoHongShu,bargain_hunter,18,2026-06-07T04:16:50,visit_homepage,,,请回到 XiaoHongShu 首页，等待 3 秒后截图。,results/XiaoHongShu/bargain_hunter/20260607_040601/screenshots/step_018.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
