app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ZhiHu,bargain_hunter,1,2026-06-07T13:11:24,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,2,2026-06-07T13:12:22,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,3,2026-06-07T13:12:54,search_keyword,game_acg,游戏攻略,请在搜索框输入“游戏攻略”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,4,2026-06-07T13:13:19,search_keyword,membership_subscription,会员专享,请在搜索框输入“会员专享”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,5,2026-06-07T13:14:09,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_005.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,6,2026-06-07T13:15:51,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_006.png,这里刚返回时，弹出了一个上划领现金的浮动窗口，截图时已经消失了,2.0,1.0,1.0,0.0,0.0,1.0,1.0
ZhiHu,bargain_hunter,7,2026-06-07T13:16:19,search_keyword,entertainment_video,搞笑,请在搜索框输入“搞笑”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,8,2026-06-07T13:16:40,search_keyword,emotion_life,治愈,请在搜索框输入“治愈”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,9,2026-06-07T13:17:16,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_009.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,10,2026-06-07T13:17:52,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_010.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,11,2026-06-07T13:18:38,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_011.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,12,2026-06-07T13:19:43,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_012.png,,2.0,0.0,1.0,0.0,1.0,0.0,1.0
ZhiHu,bargain_hunter,13,2026-06-07T13:20:39,search_keyword,game_acg,电竞,请在搜索框输入“电竞”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_013.png,,2.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,14,2026-06-07T13:21:09,search_keyword,membership_subscription,VIP,请在搜索框输入“VIP”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_014.png,,0.0,0.0,1.0,1.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,15,2026-06-07T13:22:08,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_015.png,,2.0,0.0,0.0,1.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,16,2026-06-07T13:22:49,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_016.png,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,17,2026-06-07T13:24:11,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_017.png,,2.0,0.0,0.0,0.0,0.0,1.0,1.0
ZhiHu,bargain_hunter,18,2026-06-07T13:24:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_018.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,19,2026-06-07T13:25:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_019.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,bargain_hunter,20,2026-06-07T13:25:56,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\bargain_hunter\20260607_131021\screenshots\step_020.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
