app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ZhiHu,high_payment_shopping,1,2026-06-07T12:10:06,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,2,2026-06-07T12:13:03,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,3,2026-06-07T12:14:53,search_keyword,membership_subscription,专属权益,请在搜索框输入“专属权益”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,4,2026-06-07T12:17:25,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_004.png,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ZhiHu,high_payment_shopping,5,2026-06-07T12:19:27,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_005.png,刚返回时下方有个很小的浮标，内容是类似充会员即可···,2.0,0.0,0.0,0.0,0.0,1.0,1.0
ZhiHu,high_payment_shopping,6,2026-06-07T12:21:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,7,2026-06-07T12:21:54,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,8,2026-06-07T12:23:21,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,9,2026-06-07T12:25:32,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_009.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,10,2026-06-07T12:26:57,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
