app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
jingdong,high_payment_shopping,1,2026-06-06T14:16:12,visit_homepage,,,请回到 jingdong 首页，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,2,2026-06-06T14:16:34,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,3,2026-06-06T14:16:49,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,4,2026-06-06T14:17:10,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,5,2026-06-06T14:18:17,search_keyword,electronics_high_value,手机,请在搜索框输入“手机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,6,2026-06-06T14:18:39,search_keyword,electronics_high_value,手机,请在搜索框输入“手机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,7,2026-06-06T14:18:53,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
jingdong,high_payment_shopping,8,2026-06-06T14:19:13,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_008.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,9,2026-06-06T14:19:30,search_keyword,apparel_beauty,粉底液,请在搜索框输入“粉底液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,10,2026-06-06T14:19:58,visit_homepage,,,请回到 jingdong 首页，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,11,2026-06-06T14:20:49,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,high_payment_shopping,12,2026-06-06T14:21:11,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\jingdong\high_payment_shopping\20260606_141601\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
