app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
jingdong,low_payment_browsing,1,2026-06-06T13:28:58,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_001.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,2,2026-06-06T13:30:09,search_keyword,daily_necessities,纸巾,请在搜索框输入“纸巾”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,3,2026-06-06T13:30:45,search_keyword,electronics_high_value,手柄,请在搜索框输入“手柄”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,4,2026-06-06T13:31:06,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,5,2026-06-06T13:31:45,search_keyword,apparel_beauty,面膜,请在搜索框输入“面膜”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
jingdong,low_payment_browsing,6,2026-06-06T13:32:21,visit_homepage,,,请回到 jingdong 首页，等待 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_006.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,7,2026-06-06T13:32:33,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,8,2026-06-06T13:32:53,search_keyword,apparel_beauty,粉底液,请在搜索框输入“粉底液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,9,2026-06-06T13:33:21,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
jingdong,low_payment_browsing,10,2026-06-06T13:33:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\jingdong\low_payment_browsing\20260606_132624\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
