app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
pinduoduo,high_payment_shopping,1,2026-06-06T15:31:37,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_001.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,2,2026-06-06T15:31:57,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,3,2026-06-06T15:32:32,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_003.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,4,2026-06-06T15:33:55,search_keyword,electronics_high_value,平板电脑,请在搜索框输入“平板电脑”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,5,2026-06-06T15:34:06,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,6,2026-06-06T15:34:24,search_keyword,electronics_high_value,手柄,请在搜索框输入“手柄”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_006.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,7,2026-06-06T15:34:40,search_keyword,apparel_beauty,高跟鞋,请在搜索框输入“高跟鞋”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_007.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,8,2026-06-06T15:34:56,search_keyword,apparel_beauty,连衣裙,请在搜索框输入“连衣裙”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_008.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,9,2026-06-06T15:35:10,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_009.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,10,2026-06-06T15:35:29,search_keyword,electronics_high_value,索尼相机,请在搜索框输入“索尼相机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_010.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,11,2026-06-06T15:35:55,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_011.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,12,2026-06-06T15:36:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_012.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,13,2026-06-06T15:36:31,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_013.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,14,2026-06-06T15:36:43,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_014.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,15,2026-06-06T15:36:57,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_015.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,16,2026-06-06T15:37:10,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_016.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,17,2026-06-06T15:37:30,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_017.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,18,2026-06-06T15:37:49,search_keyword,electronics_high_value,联想笔记本,请在搜索框输入“联想笔记本”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_018.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,19,2026-06-06T15:38:03,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_019.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,20,2026-06-06T15:38:26,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_020.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,21,2026-06-06T15:38:42,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_021.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,22,2026-06-06T15:38:57,search_keyword,electronics_high_value,联想笔记本,请在搜索框输入“联想笔记本”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_022.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,23,2026-06-06T15:39:19,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_023.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,24,2026-06-06T15:39:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_024.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,25,2026-06-06T15:40:04,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_025.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,26,2026-06-06T15:40:30,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_026.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,27,2026-06-06T15:40:42,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_027.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,28,2026-06-06T15:41:09,search_keyword,electronics_high_value,索尼相机,请在搜索框输入“索尼相机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_028.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,29,2026-06-06T15:41:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_029.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pinduoduo,high_payment_shopping,30,2026-06-06T15:42:03,visit_homepage,,,请回到 pinduoduo 首页，等待 3 秒后截图。,results\pinduoduo\high_payment_shopping\20260606_153112\screenshots\step_030.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
