profile_a,profile_b,dimension,E_a,E_b,diff_a_minus_b,abs_diff,exceeds_tau
bargain_hunter,high_payment_shopping,I,0.44166666666666665,0.44166666666666665,0.0,0.0,False
bargain_hunter,high_payment_shopping,F,0.1,0.058333333333333334,0.04166666666666667,0.04166666666666667,False
bargain_hunter,high_payment_shopping,P,0.48333333333333334,0.5416666666666666,-0.05833333333333329,0.05833333333333329,False
bargain_hunter,high_payment_shopping,C,0.0,0.0,0.0,0.0,False
bargain_hunter,high_payment_shopping,S,0.0,0.03333333333333333,-0.03333333333333333,0.03333333333333333,False
bargain_hunter,high_payment_shopping,N,0.075,0.18333333333333332,-0.10833333333333332,0.10833333333333332,False
bargain_hunter,high_payment_shopping,FA,0.925,0.975,-0.04999999999999993,0.04999999999999993,False
bargain_hunter,low_payment_browsing,I,0.44166666666666665,0.24166666666666667,0.19999999999999998,0.19999999999999998,False
bargain_hunter,low_payment_browsing,F,0.1,0.09166666666666666,0.008333333333333345,0.008333333333333345,False
bargain_hunter,low_payment_browsing,P,0.48333333333333334,0.6,-0.11666666666666664,0.11666666666666664,False
bargain_hunter,low_payment_browsing,C,0.0,0.0,0.0,0.0,False
bargain_hunter,low_payment_browsing,S,0.0,0.008333333333333333,-0.008333333333333333,0.008333333333333333,False
bargain_hunter,low_payment_browsing,N,0.075,0.10833333333333334,-0.03333333333333334,0.03333333333333334,False
bargain_hunter,low_payment_browsing,FA,0.925,0.825,0.10000000000000009,0.10000000000000009,False
high_payment_shopping,low_payment_browsing,I,0.44166666666666665,0.24166666666666667,0.19999999999999998,0.19999999999999998,False
high_payment_shopping,low_payment_browsing,F,0.058333333333333334,0.09166666666666666,-0.033333333333333326,0.033333333333333326,False
high_payment_shopping,low_payment_browsing,P,0.5416666666666666,0.6,-0.05833333333333335,0.05833333333333335,False
high_payment_shopping,low_payment_browsing,C,0.0,0.0,0.0,0.0,False
high_payment_shopping,low_payment_browsing,S,0.03333333333333333,0.008333333333333333,0.025,0.025,False
high_payment_shopping,low_payment_browsing,N,0.18333333333333332,0.10833333333333334,0.07499999999999998,0.07499999999999998,False
high_payment_shopping,low_payment_browsing,FA,0.975,0.825,0.15000000000000002,0.15000000000000002,False
