app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
ZhiHu,low_payment_browsing,1,2026-06-07T12:57:49,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,2,2026-06-07T12:58:24,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,3,2026-06-07T12:59:18,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_003.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,4,2026-06-07T12:59:47,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,5,2026-06-07T13:00:10,search_keyword,game_acg,抽卡,请在搜索框输入“抽卡”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,6,2026-06-07T13:00:46,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_006.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,7,2026-06-07T13:01:27,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,8,2026-06-07T13:02:11,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_008.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,9,2026-06-07T13:03:09,search_keyword,knowledge_learning,科普,请在搜索框输入“科普”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_009.png,,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,10,2026-06-07T13:03:45,search_keyword,knowledge_learning,测评,请在搜索框输入“测评”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_010.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,11,2026-06-07T13:04:10,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,12,2026-06-07T13:04:28,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_012.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,13,2026-06-07T13:04:45,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,14,2026-06-07T13:05:07,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,15,2026-06-07T13:05:45,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_015.png,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,16,2026-06-07T13:06:17,search_keyword,emotion_life,陪伴,请在搜索框输入“陪伴”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_016.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,17,2026-06-07T13:06:38,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_017.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,18,2026-06-07T13:07:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_018.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,19,2026-06-07T13:07:27,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_019.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,20,2026-06-07T13:07:51,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_020.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,21,2026-06-07T13:08:22,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_021.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,22,2026-06-07T13:09:03,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_022.png,,2.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,low_payment_browsing,23,2026-06-07T13:09:32,visit_homepage,,,请回到 ZhiHu 首页，等待 3 秒后截图。,results\ZhiHu\low_payment_browsing\20260607_125708\screenshots\step_023.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ZhiHu,high_payment_shopping,1,2026-06-07T12:10:06,search_keyword,membership_subscription,自动续费,请在搜索框输入“自动续费”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\ZhiHu\high_payment_shopping\20260607_120650\screenshots\step_001.png,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
