app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
xianyu,high_payment_shopping,1,2026-06-06T16:25:49,search_keyword,apparel_beauty,连衣裙,请在搜索框输入“连衣裙”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,2,2026-06-06T16:26:59,search_keyword,electronics_high_value,联想笔记本,请在搜索框输入“联想笔记本”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_002.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,3,2026-06-06T16:27:12,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,4,2026-06-06T16:27:22,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_004.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,5,2026-06-06T16:27:55,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_005.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,6,2026-06-06T16:29:59,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,7,2026-06-06T16:30:16,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,8,2026-06-06T16:30:27,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,9,2026-06-06T16:30:43,search_keyword,electronics_high_value,平板电脑,请在搜索框输入“平板电脑”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_009.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,high_payment_shopping,10,2026-06-06T16:31:15,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\high_payment_shopping\20260606_162450\screenshots\step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
