app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
xianyu,low_payment_browsing,1,2026-06-06T15:55:14,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_001.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,2,2026-06-06T15:55:37,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_002.png,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
xianyu,low_payment_browsing,3,2026-06-06T15:56:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,4,2026-06-06T15:56:33,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_004.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,5,2026-06-06T15:56:49,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_005.png,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,6,2026-06-06T15:57:58,visit_homepage,,,请回到 xianyu 首页，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_006.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,7,2026-06-06T15:58:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_007.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,8,2026-06-06T15:58:38,search_keyword,daily_necessities,零食,请在搜索框输入“零食”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_008.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,9,2026-06-06T15:58:56,search_keyword,apparel_beauty,防晒衣,请在搜索框输入“防晒衣”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_009.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,10,2026-06-06T15:59:08,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_010.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,11,2026-06-06T15:59:20,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_011.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,12,2026-06-06T15:59:31,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_012.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,13,2026-06-06T15:59:52,visit_homepage,,,请回到 xianyu 首页，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_013.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,14,2026-06-06T16:00:55,search_keyword,apparel_beauty,高跟鞋,请在搜索框输入“高跟鞋”，点击第一个自然/推荐结果，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_014.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,15,2026-06-06T16:01:29,visit_homepage,,,请回到 xianyu 首页，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_015.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,16,2026-06-06T16:02:04,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_016.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,17,2026-06-06T16:02:41,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_017.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,18,2026-06-06T16:03:15,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_018.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,19,2026-06-06T16:03:27,visit_homepage,,,请回到 xianyu 首页，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_019.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,20,2026-06-06T16:03:40,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_020.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,21,2026-06-06T16:04:00,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_021.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,22,2026-06-06T16:04:17,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_022.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,23,2026-06-06T16:04:50,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_023.png,,1.0,0.0,0.0,0.0,0.0,4.0,1.0
xianyu,low_payment_browsing,24,2026-06-06T16:05:05,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_024.png,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
xianyu,low_payment_browsing,25,2026-06-06T16:05:15,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_025.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xianyu,low_payment_browsing,26,2026-06-06T16:05:52,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results\xianyu\low_payment_browsing\20260606_155406\screenshots\step_026.png,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
