app,profile_id,step,timestamp,action,category,keyword,instruction,screenshot_path,note,I,F,P,C,S,N,FA
微博,high_payment_shopping,1,2026-06-07T05:14:28,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_001.png,,2.0,1.0,0.0,0.0,0.0,1.0,0.0
微博,high_payment_shopping,2,2026-06-07T05:16:05,search_keyword,electronics_high_value,联想笔记本,请在搜索框输入“联想笔记本”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_002.png,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,3,2026-06-07T05:16:31,search_keyword,electronics_high_value,索尼相机,请在搜索框输入“索尼相机”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_003.png,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,4,2026-06-07T05:16:51,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_004.png,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,high_payment_shopping,5,2026-06-07T05:17:31,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_005.png,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,high_payment_shopping,6,2026-06-07T05:18:06,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_006.png,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
微博,high_payment_shopping,7,2026-06-07T05:18:54,decision_interface_visit,,,请点击当前屏幕中最明显的决策入口，例如内容详情、会员、订阅、充值、购买、领取优惠等，等待 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_007.png,,2.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,8,2026-06-07T05:19:23,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_008.png,,2.0,1.0,0.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,9,2026-06-07T05:20:16,search_keyword,daily_necessities,洗衣液,请在搜索框输入“洗衣液”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_009.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,10,2026-06-07T05:20:46,search_keyword,apparel_beauty,防晒衣,请在搜索框输入“防晒衣”，点击第一个自然/推荐结果，等待 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_010.png,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
微博,high_payment_shopping,11,2026-06-07T05:21:23,browse_or_scroll_page,,,请在当前页面向下浏览/滑动一次，停留观察 3 秒后截图。,results/微博/high_payment_shopping/20260607_051319/screenshots/step_011.png,,2.0,1.0,1.0,0.0,0.0,2.0,0.0
